,x
576,0.422454453
577,0.432184275
578,0.399680166
579,0.464628649
580,0.392071994
581,0.40778239
582,0.467515408
583,0.423147995
584,0.410999323
585,0.374210193
586,0.235719858
587,0.433524589
588,0.470907324
589,0.40152855
590,0.415223985
591,0.432016299
592,0.395345726
593,0.465537601
594,0.407208252
595,0.395279757
596,0.439134912
597,0.361435581
598,0.355950629
599,0.380413799
600,0.415773149
601,0.439814139
602,0.420953912
603,0.361164599
604,0.462069631
605,0.310217456
606,0.295777561
607,0.397294402
608,0.412544802
609,0.303945944
610,0.309985997
611,0.420324847
612,0.382503438
613,0.365871004
614,0.302402083
615,0.413871251
616,0.373087524
617,0.489501572
618,0.425071649
619,0.490154023
620,0.409557658
621,0.36515001
622,0.433698701
623,0.41920482
624,0.329929618
625,0.410036083
626,0.326038828
627,0.457914313
628,0.471165214
629,0.47950909
630,0.451865626
631,0.380507999
632,0.429138031
633,0.348378277
634,0.439262312
635,0.286653439
636,0.345649019
637,0.383626025
638,0.458757821
639,0.422074512
640,0.424021349
641,0.343938084
642,0.361070261
643,0.408376663
644,0.437932651
645,0.32043176
646,0.380938515
647,0.387952997
648,0.465756096
649,0.359535922
650,0.421011922
651,0.391072154
652,0.3673122
653,0.37450242
654,0.460485371
655,0.324916739
656,0.321930423
657,0.36356673
658,0.433741496
659,0.483634241
660,0.471174868
661,0.391855165
662,0.381074415
663,0.6023078
664,0.453912332
665,0.471202296
666,0.565471604
667,0.324985831
668,0.406056754
669,0.361737516
670,0.462686323
671,0.388624937
672,0.482436547
673,0.416140373
674,0.474528924
675,0.524260696
676,0.450134515
677,0.507994402
678,0.541882545
679,0.439609867
680,0.440939454
681,0.328702383
682,0.38227998
683,0.347950601
684,0.412026711
685,0.375536336
686,0.411230912
687,0.477682236
688,0.448907747
689,0.517747415
690,0.418188167
691,0.436296298
692,0.453786203
693,0.388700168
694,0.370524349
695,0.409232898
696,0.424312496
697,0.422112946
698,0.42991144
699,0.476763277
700,0.483986524
701,0.420508422
702,0.345111793
703,0.485149797
704,0.472160211
705,0.503475611
706,0.518971507
707,0.451153585
708,0.501953387
709,0.487255405
710,0.415003842
711,0.455220713
712,0.437000192
713,0.455482105
714,0.544320014
715,0.37262559
716,0.430145774
717,0.472522802
718,0.431931132
719,0.494337331
720,0.481886154
721,0.48652035
722,0.430558558
723,0.376858079
724,0.394131008
725,0.485572972
726,0.407661421
727,0.398812257
728,0.367226854
729,0.430803345
730,0.432701601
731,0.399355695
732,0.507658348
733,0.479152933
734,0.407742278
735,0.528402437
736,0.371228178
737,0.420662955
738,0.414112963
739,0.499612628
740,0.577213989
741,0.440780284
742,0.528557326
743,0.417514245
744,0.453297435
745,0.406019166
746,0.435008657
747,0.532847013
748,0.45229877
749,0.394184393
750,0.476823604
751,0.404872409
752,0.386580472
753,0.504377283
754,0.543345739
755,0.389397708
756,0.459322151
757,0.401269213
758,0.379187583
759,0.385729115
760,0.462778207
761,0.391530595
762,0.37893191
763,0.519018186
764,0.416358521
765,0.344045136
766,0.399844304
767,0.571556796
768,0.408214488
769,0.37777228
770,0.464676931
771,0.321744328
772,0.396727757
773,0.414579378
774,0.405508142
775,0.455712219
776,0.362576666
777,0.404003823
778,0.430066925
779,0.619562601
780,0.458390977
781,0.438779654
782,0.427780756
783,0.606543901
784,0.371703823
785,0.375493313
786,0.403525531
787,0.391952336
788,0.477924726
789,0.514352673
