,x
724,17.21235486
725,17.3383022
726,17.48389244
727,17.48389244
728,17.19119459
729,17.08639711
730,17.12183678
731,16.95255875
732,17.18942975
733,17.35660946
734,17.36556699
735,17.34963771
736,17.27256878
737,17.27256878
738,17.52833998
739,17.30025041
740,17.22502905
741,17.07171774
742,17.2961193
743,17.10406569
744,17.23619124
745,17.47317884
746,17.233354
747,17.10702002
748,16.82078
749,16.82078
750,16.69151738
751,16.49305442
752,16.42961378
753,16.14221231
754,16.37439157
755,16.54133122
756,16.74034932
757,16.92820498
758,16.64072517
759,16.69338238
760,16.69227293
761,16.9225609
762,16.74144651
763,16.61875839
764,16.43054235
765,16.69063269
766,16.44523173
767,16.68855267
768,16.74504536
769,17.03037816
770,17.15215161
771,17.34695548
772,17.24399215
773,16.9597918
774,17.08268577
775,17.27071079
776,17.15316736
777,17.29016514
778,17.29016514
779,17.15739251
780,17.35536334
781,17.47752383
782,17.26969576
783,17.28290626
784,17.03800589
785,16.99106225
786,17.18013475
787,17.26086085
788,17.35834225
789,17.09603023
790,16.82345084
791,16.84925921
792,16.73494223
793,16.7286521
794,16.66888857
795,16.60367663
796,16.32525834
797,16.36309315
798,16.64766131
799,16.56766434
800,16.71754689
801,16.87146243
802,16.86031358
803,16.69167852
804,16.69167852
805,16.62627167
806,16.58812507
807,16.58812507
808,16.58812507
809,16.53893987
810,16.48384096
811,16.24601813
812,15.98531204
813,16.05864548
814,16.06405639
815,16.26789011
816,16.53804127
817,16.77981548
818,16.77981548
819,16.97577884
820,16.81286731
821,16.66470231
822,16.67659417
823,16.44597565
824,16.39247338
825,16.28956902
826,16.21589778
827,15.93582367
828,16.09207615
829,16.20998497
830,16.23979515
831,16.12304503
832,16.26386823
833,16.07022804
834,15.80265538
835,15.60141981
836,15.40613003
837,15.55241878
838,15.80822843
839,16.02966429
840,16.02966429
841,15.96335019
842,16.13250061
843,16.03744504
844,16.03744504
845,15.91041762
846,15.95404798
847,16.15427367
848,16.38750828
849,16.54724443
850,16.50398958
851,16.52761968
852,16.58684741
853,16.55146255
854,16.65910397
855,16.63095874
856,16.4833423
857,16.23498155
858,16.03975697
859,15.82087955
860,15.79436453
861,15.69703694
862,15.83556483
863,15.82405883
864,16.06559913
865,15.83846559
866,16.04549756
867,16.23152527
868,16.18484197
869,16.18484197
870,16.0546709
871,15.79404159
872,15.56513615
873,15.54645721
874,15.64485362
875,15.91194806
876,15.69810164
877,15.78062222
878,15.78062222
879,15.60432096
880,15.30998494
881,15.28763811
882,15.20194431
883,15.20194431
884,15.06755324
885,15.08968034
886,15.30120098
887,15.30120098
888,15.12306121
889,15.38103029
890,15.48064725
891,15.58916925
892,15.34514745
893,15.11862563
894,15.28557691
895,15.17066606
896,15.05227386
897,15.03895511
898,15.31211592
899,15.32178159
900,15.24070076
901,15.14123833
902,15.14123833
903,14.97077343
904,14.97077343
905,15.02008201
906,14.99700864
907,14.97691065
908,14.95792865
909,14.81248068
910,14.62552424
911,14.5517966
912,14.26664201
913,14.06495743
914,13.8169701
915,13.61625004
916,13.37983866
917,13.46774452
918,13.32072022
919,13.33779119
920,13.12852027
921,13.13907805
922,13.18832288
923,13.18832288
924,13.08711654
925,13.08711654
926,12.96224484
927,13.25549861
928,13.42401525
929,13.46490704
930,13.67725875
931,13.3858358
932,13.36468515
933,13.22385762
934,13.0945671
935,12.88253242
936,12.69461341
937,12.69461341
938,12.8397325
939,12.6500767
940,12.47309296
941,12.63670799
942,12.74141388
943,12.74141388
944,12.49285441
945,12.62466255
946,12.67749242
947,12.75411769
948,12.96599659
949,12.7923264
950,13.09180215
951,12.98569392
952,13.01991405
953,13.29086138
954,13.00710341
955,13.20564324
956,13.13994979
957,13.16894102
958,13.32750377
959,13.32197968
960,13.60630263
961,13.62876274
962,13.34446476
963,13.62739141
964,13.55030192
965,13.45919347
966,13.5572922
967,13.6417819
968,13.49269006
