,x
141,1.256683604
142,1.238686916
143,1.268341828
144,1.246756215
145,1.20289354
146,1.269066144
147,1.28342774
148,1.226245005
149,1.243950911
150,1.256838718
151,1.257961759
152,1.260733613
153,1.253047836
154,1.249869546
155,1.265856466
156,1.223246807
157,1.246231689
158,1.27799454
159,1.277227409
160,1.253573236
161,1.24298475
162,1.225566903
163,1.211703472
164,1.215486976
165,1.237740436
166,1.21622576
167,1.272278884
168,1.222850255
169,1.279531192
170,1.252033719
171,1.270363797
172,1.253333713
173,1.235358943
174,1.244090085
175,1.257216878
176,1.257589575
177,1.272552622
178,1.23822161
179,1.183112067
180,1.200768158
181,1.200617071
182,1.238959867
183,1.219328573
184,1.247686106
185,1.22216859
186,1.256697117
187,1.236069189
188,1.280866494
189,1.228668462
190,1.274394057
191,1.279306488
192,1.251866899
193,1.290257778
194,1.275644224
195,1.249129732
196,1.220937985
197,1.247882519
198,1.219917467
199,1.239301834
200,1.214092249
201,1.222236455
202,1.204364892
203,1.222483584
204,1.199902464
205,1.225471875
206,1.222807461
207,1.225557862
208,1.217683875
209,1.198694448
210,1.167915585
211,1.166433941
212,1.179984652
213,1.184670238
214,1.178459644
215,1.170208812
216,1.191201628
217,1.191836293
218,1.199507369
219,1.17744334
220,1.180182192
221,1.174623892
222,1.19686942
223,1.162383591
224,1.200716967
225,1.210299793
226,1.188722997
227,1.163756126
228,1.157574034
229,1.178464079
230,1.172845329
231,1.206358981
232,1.209183514
233,1.178413749
234,1.188772067
235,1.185627118
236,1.197049838
237,1.179460748
238,1.203123246
239,1.205277246
240,1.245641293
241,1.211901979
242,1.216172845
243,1.187405675
244,1.245291914
245,1.211427944
246,1.209087232
247,1.246135774
248,1.213110895
249,1.211582122
250,1.212912654
251,1.252262809
252,1.198418127
253,1.255967542
254,1.291803297
255,1.286342916
256,1.261415226
257,1.241914329
258,1.216695846
259,1.277674885
260,1.284575727
261,1.27018896
262,1.282293893
263,1.265361104
264,1.247027053
265,1.278681832
266,1.275086456
267,1.262210413
268,1.287982133
269,1.271969153
270,1.308783827
271,1.306841767
272,1.306215829
273,1.2955137
274,1.308260713
275,1.295479986
276,1.285247909
277,1.304156389
278,1.293837751
279,1.302729811
280,1.29358359
281,1.313057496
282,1.252056727
283,1.317573922
284,1.316582311
285,1.349262178
286,1.32929462
287,1.313649817
288,1.288285606
289,1.284067538
290,1.310608256
291,1.319320351
292,1.288206105
293,1.296749704
294,1.307903484
295,1.320104599
296,1.29470094
297,1.290722098
298,1.293656266
299,1.244952237
300,1.304659641
301,1.304667791
302,1.282742802
303,1.261219126
304,1.313234687
305,1.291620859
306,1.279023488
307,1.295829425
308,1.281590477
309,1.266650978
310,1.350111464
311,1.310133126
312,1.317311257
313,1.361568331
314,1.330747156
315,1.255240006
316,1.300039945
317,1.291512719
318,1.315103558
319,1.295229404
320,1.295023732
321,1.272708743
322,1.317616116
323,1.305399782
324,1.363759589
325,1.279124321
326,1.305643999
327,1.304198015
328,1.308499607
329,1.263687005
330,1.313644972
331,1.292482548
332,1.334735561
333,1.298232431
334,1.295835216
335,1.269498415
336,1.289443951
337,1.267156106
338,1.258197239
339,1.295995717
340,1.288432504
341,1.259070578
342,1.266054117
343,1.253988327
344,1.299143473
345,1.284815432
346,1.241967156
347,1.236166732
348,1.251114505
349,1.248184143
350,1.283688237
351,1.245282007
352,1.305719602
353,1.303128887
354,1.270093611
355,1.285166247
356,1.247790541
357,1.244464611
358,1.252599667
359,1.260288746
360,1.232716698
361,1.222530206
362,1.226170731
363,1.325948259
364,1.250534314
365,1.264718957
366,1.246790288
367,1.276312593
368,1.255550557
369,1.283933804
370,1.282837362
371,1.250780659
372,1.262586761
373,1.289687946
374,1.249374524
375,1.226719543
376,1.218589547
377,1.208034253
378,1.224086367
379,1.226104604
380,1.241187867
381,1.244769982
382,1.210283609
383,1.225925124
384,1.222288002
385,1.218124458
386,1.220467221
387,1.272876987
388,1.209614812
389,1.247538682
390,1.226718203
391,1.235082013
392,1.238408962
393,1.207618028
394,1.212249152
395,1.189169694
396,1.238827101
397,1.229247498
398,1.211635351
399,1.239811639
400,1.237490134
401,1.239613153
402,1.222819368
403,1.228712701
404,1.236667683
405,1.240309111
406,1.260483691
407,1.244938929
408,1.228360707
409,1.235045218
410,1.231106296
411,1.235371307
412,1.23539012
413,1.242458737
414,1.226266747
415,1.23570574
416,1.241809256
417,1.259117431
418,1.233365302
419,1.216842644
420,1.180590821
421,1.19875628
422,1.236183282
423,1.185708091
424,1.172912461
